smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2
CC1(C)O[P-]2(F)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,-140.42645,-31.65721,11.441704,249.048,169,2,0.7566796707090955,-0.9150584010308436
FCC1(CF)O[P-](F)(F)(F)(CF)OC1(CF)CF,-135.9018,-26.10003,7.361278,133.592,170,2,-0.17813493115777146,-0.5233505599307312
FCC1(CF)O[P-](F)(F)(C#N)(C#N)OC1(CF)CF,-111.76528,-6.87778,14.536245,151.379667,171,1,1.066692288653,0.08014893681293905
N#CC1(C#N)O[P-](F)(CF)(CF)(CF)OC1(C#N)C#N,-106.56525,-25.59097,6.999043,182.113,172,1,0.9396278763855177,0.5992650848194707
CC1(C)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C)C,-153.18008,-27.68518,10.201396,185.626667,173,2,-0.04254062361099341,-1.3743951240557555
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))O(C(F)F),-129.80924,-30.78683,2.955914,101.589667,174,0,-0.5212634645202259,-0.0808715845530591
N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)F))OC1(C#N)C#N,-103.0935,-20.80273,3.045094,142.393667,175,1,0.7420214490534132,0.7584234956615887
N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N,-125.03237,-32.22815,8.730568,213.36,176,2,0.6876042795197379,-0.14537599999920497
CC1(C)O[P-]2(F)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,-148.82847,-37.37332,5.803047,250.279667,177,2,0.4286579640836539,-1.1646877468591021
CC1(C)O[P-]2(C#N)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,-129.25309,-28.31945,13.798463,269.13,178,2,1.2914820314479212,-0.5552083800149347
FCC1(CF)O[P-](F)(C#N)(C#N)(C#N)OC1(CF)CF,-106.12631,-22.12063,12.638097,170.815,179,1,0.9342280873565346,0.5783858131066458
N#CC1(C#N)O[P-](F)(F)(F)(C(F)(F)F)OC1(C#N)C#N,-94.7168,-20.73479,1.215176,139.489,180,1,0.8859829948856385,1.125398283185949
FCC1(CF)O[P-](F)(F)(O(C))(O(C))OC1(CF)CF,-146.33585,-25.03705,8.574796,158.394333,181,2,-0.10508851400815691,-1.0603186311276398
CC1(C)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C)C,-140.66044,-26.6678,8.731448,162.187,182,2,0.0025242332864043623,-0.793274970864129
CC1(C)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,-127.63974,-26.57926,7.072182,181.595,183,2,0.4726340591407846,-0.2865471926844941
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))F,-128.93074,-52.0042,4.676221,62.4105,184,3,-1.5321106791782328,0.48990211279295676
