smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx
FCC1(CF)O[P-](F)(F)(O(CF))(O(CF))OC1(CF)CF,-125.92077,-23.53615,8.635404,160.447,218
FC(F)C1(C(F)F)O[P-](F)(C)(C)(C)OC1(C(F)F)C(F)F,-143.2237,-21.88921,6.546831,175.669333,219
N#CC1(C#N)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,-110.74669,-18.60602,8.883519,184.542,220
FC(F)C1(C(F)F)O[P-](F)(F)(C)(C)OC1(C(F)F)C(F)F,-135.90218,-16.27456,7.375359,152.654333,221
CC1(C)O[P-]2(O(CF))(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,-155.74379,-31.85001,6.659453,272.458667,222
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C)OC1(C(F)F)C(F)F,-140.24538,-11.76023,9.642283,130.420667,223
N#CC1(C#N)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,-103.77562,-15.23598,5.242143,161.67,224
N#CC1(C#N)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N,-137.10836,-34.15005,7.673681,176.853667,225
CC1(C)O[P-]2(C(F)F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-98.81565,-18.12054,5.633137,266.458,226
FC(F)C1(C(F)F)O[P-](F)(F)(F)(F)OC1(C(F)F)C(F)F,-120.48943,-14.88299,8.060107,111.629667,227
N#CC1(C#N)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C#N)C#N,-92.14832,-36.10357,3.188765,149.119,228
N#CC1(C#N)O[P-]2(=O)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,-106.9557,-7.16001,2.248842,232.677,229
CC1(C)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,-129.24821,-28.00217,6.127052,181.813333,230
CC1(C)O[P-](F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C)C,-117.78427,-27.62597,7.613605,172.426,231
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C#N)OC1(C(F)F)C(F)F,-116.92597,-0.20794,12.974755,128.611667,232
N#CC1(C#N)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,-104.95548,-1.46284,5.558076,235.621,233
FCC1(CF)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,-133.85106,-24.11976,7.734624,202.240667,234
FC(F)C1(C(F)F)O[P-](F)(F)(F)(O(C))OC1(C(F)F)C(F)F,-124.69013,-37.40838,5.756491,132.019,235
FC(F)C1(C(F)F)O[P-](F)(F)(C#N)(C#N)OC1(C(F)F)C(F)F,-105.75115,-19.85257,14.329301,146.803667,236
FCC1(CF)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(CF)CF,-147.81069,-18.07333,11.686153,176.121333,237
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))O(C(F)(F)F),-123.75363,-51.50019,4.884815,80.5647,238
N#CC1(C#N)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,-114.11863,-26.4752,7.371179,205.818,239
FC(F)C1(C(F)F)O[P-](F)(C#N)(C#N)(C#N)OC1(C(F)F)C(F)F,-103.14286,7.07606,14.315584,166.241667,240
N#CC1(C#N)O[P-]2(F)(F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,-82.35349,-7.68938,0.791415,226.091,241
FC(F)C1(C(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)F)C(F)F,-131.05348,-40.80591,4.12481,153.241,242
FC(F)C1(C(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)F)C(F)F,-128.70046,-0.26104,12.334651,132.500667,243
