smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2,functionalgroupscorer,F_count,O_ether_count,NO2_count,CN_count,oxo_or_anion_count,H_count,scscore
FCC1(CF)O[P-]2(C#N)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-128.55484,-4.70307,17.095033,249.227667,292,2,1.795710414825433,-0.9483567226938656,-4.0,8,4,0,2,0,16,2.734644005926045
FC(F)C1(C(F)F)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,-131.76934,-9.07717,8.043843,162.201,296,2,0.7030151078528989,-0.7655069660678031,9.0,15,2,0,0,0,7,2.9601576818602915
FCC1(CF)O[P-]2(F)(N(=O)=O)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-140.67766,-18.03695,10.822672,232.244333,301,2,0.9791135335474216,-1.1556900481528931,-4.5,9,4,1,0,0,16,2.883943079223707
FCC1(CF)O[P-]2(CF)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-144.27307,-5.58391,4.472673,251.132333,302,2,1.4668144629545157,-1.6122652743050094,-8.0,10,4,0,0,0,20,2.75121486339987
FC(F)(F)C1(C(F)(F)F)O[P-](F)(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,-133.77865,-43.18204,3.939377,174.457,304,2,-0.2157923149608047,-0.1967091297309824,6.5,13,5,0,0,0,9,3.171309138593887
FCC1(CF)O[P-]2(F)(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-148.03515,-2.1944,8.445997,232.146,305,2,1.29348030668138,-1.7917629121590022,-5.5,10,5,0,0,0,18,2.5933841108393634
FC(F)(F)C1(C(F)(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,-137.62674,-38.89997,2.367237,196.6,307,2,0.059759779530363,-0.5080176988521151,3.0,12,6,0,0,0,12,3.3396793046020044
FC(F)C1(C(F)F)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,-122.55256,-16.21268,5.800255,180.159,311,2,0.8674169861767083,-0.2728834618186888,9.0,16,2,0,0,0,8,3.1990597996068884
FCC1(CF)O[P-]2(O(CF))(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,-144.47556,-17.48249,6.956639,252.386667,313,2,1.125314431466172,-1.3842747469190917,-7.0,10,6,0,0,0,20,2.5093815565344455
FC(F)C1(C(F)F)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,-126.90834,-9.52592,2.924771,187.992,319,2,1.0556896442849049,-0.6162550591884962,11.0,16,6,0,0,0,8,2.703426662760269
FC(F)C1(C(F)F)O[P-]2(=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,-142.7265,-6.31801,10.064572,205.892333,320,2,1.010157060750466,-1.409778517138124,12.0,16,4,0,0,1,8,2.5675551142605686
FC(F)(F)C1(C(F)(F)F)O[P-]2(=O)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,-125.80306,-39.99999,6.452654,203.346,334,2,0.3396629558909638,0.0050606660741692,28.0,24,4,0,0,1,0,3.237953385074625
